                    SOFT STORY PROPERTIES LIST (Updated Every Wednesday),,,,,,,,,,,
BLOCK,LOT,PROPERTY,NOTICE,SCREENING FORM,,OPT. EVALUATION,,IN / OUT,TIER,,
#,#,ADDRESS,SENT,RECEIVED,COMP,RECEIVED,COMP,,,STATUS,
0024,022,1323 COLUMBUS AV,X,07/15/14,07/25/14,,,OUT,,Not Subject to the Program,
0024,024,321 COLUMBUS AV,X,06/04/14,06/04/14,,,IN,3,Screening Form Accepted,
0024,009,760 NORTH POINT ST,,06/10/14,07/30/15,06/10/14,07/30/15,OUT,,Screening Form and Optional Evaluation Form Approved,
0025,023,3030 LARKIN ST,X,07/16/14,07/16/14,07/16/14,07/18/14,OUT,,Screening Form and Optional Evaluation Form Approved,
0026,007,812 BAY ST,X,11/07/14,11/07/14,,,IN,3,Permit Issued,
0026,019C,865 NORTH POINT ST,X,07/18/14,07/18/14,,,IN,3,Screening Form Accepted,
0026,013,838 BAY ST,X,09/11/14,09/11/14,,,IN,3,Screening Form Accepted,
0026,010,828 BAY ST,X,05/05/14,05/05/14,02/05/15,03/10/15,OUT,,Screening Form and Optional Evaluation Form Approved,
0027,004,714 BAY ST,X,02/28/14,02/28/14,,,IN,3,Screening Form Accepted,
0028,007,2640 LEAVENWORTH ST,X,08/15/14,08/19/14,,,OUT,,Not Subject to the Program,
0032,002,2310 POWELL ST,X,07/16/14,07/29/14,,,OUT,,Not Subject to the Program,
0032,001,2211 STOCKTON ST,X,07/16/14,07/29/14,,,OUT,,Not Subject to the Program,
0033,003,160 BAY ST,X,07/16/14,07/29/14,,,OUT,,Not Subject to the Program,
0039,012,238 FRANCISCO ST,X,09/05/14,12/23/14,,,OUT,,Not Subject to the Program,
0039,020,2130 STOCKTON ST,X,09/12/14,06/11/15,,,OUT,,Not Subject to the Program,
0039,023,125 BAY ST,X,01/24/14,01/24/14,,,IN,3,"Work Complete, CFC Issued",
0039,058,33 MIDWAY ST,X,01/26/16,02/11/16,,,OUT,,Not Subject to the Program,
0039,045,2120 STOCKTON ST,X,06/16/14,06/16/14,08/10/14,12/23/14,OUT,,Screening Form and Optional Evaluation Form Approved,
0040,011,350 FRANCISCO ST,X,03/11/14,03/11/14,,,IN,4,"Work Complete, CFC Issued",
0040,018,227 BAY ST,X,09/03/14,09/15/14,,,OUT,,Not Subject to the Program,
0040,001,2133 STOCKTON ST,X,09/10/14,10/16/14,,,OUT,,Not Subject to the Program,
0040,020,225 BAY ST,X,07/28/14,07/28/14,,,IN,4,Screening Form Accepted,
0041,127,84 VANDEWATER ST,,08/19/14,09/02/14,,,OUT, ,Not Subject to the Program,
0041,035,22 VANDEWATER ST,X,09/10/14,04/27/15,,,OUT,,Not Subject to the Program,
0041,010,424 FRANCISCO ST,X,12/09/14,12/09/14,,,IN,4,Screening Form Accepted,
0044,003D,55 BRET HARTE TR,X,08/30/14,12/23/14,,,OUT,,Not Subject to the Program,
0044,018,653 BAY ST,X,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
0044,030,766 FRANCISCO ST,X,12/16/13,12/16/13,,,IN,3,Screening Form Accepted,
0044,011,649 BAY ST,X,07/15/14,07/15/14,,,IN,3,Screening Form Accepted,
0045,010D,785 BAY ST,X,02/05/14,02/05/14,,,IN,3,Work Complete,
0045,052,2555 LEAVENWORTH ST,X,05/21/14,08/21/14,,,OUT,,Not Subject to the Program,
0045,091,2540 HYDE ST,X,08/23/14,03/31/15,,,OUT,,Not Subject to the Program,
0045,010C,2560 HYDE ST,X,08/05/14,08/05/14,,,IN,3,Screening Form Accepted,
